ra,dec,z_spec,z_err,obj_class,survey,reference
242.83510208,54.4167976,0.333443,2.1e-05,,MMT/Hectospec,Cheng+2021
242.37916946,54.0312309,0.260661,2.1e-05,,MMT/Hectospec,Cheng+2021
242.42211342,54.4022026,0.263286,2.1e-05,,MMT/Hectospec,Cheng+2021
242.796278,54.6756363,0.313182,2.1e-05,,MMT/Hectospec,Cheng+2021
242.67233849,54.0440102,0.181596,2.1e-05,,MMT/Hectospec,Cheng+2021
242.49386787,54.3463402,0.23517,2.1e-05,,MMT/Hectospec,Cheng+2021
241.80682182,54.344368,0.19354,2.1e-05,,MMT/Hectospec,Cheng+2021
241.8610096,54.458107,0.262622,2.1e-05,,MMT/Hectospec,Cheng+2021
241.92901611,54.4617958,0.147014,2.1e-05,,MMT/Hectospec,Cheng+2021
242.03255653,54.5985985,0.379948,2.1e-05,,MMT/Hectospec,Cheng+2021
242.0394516,54.1292114,0.215653,2.1e-05,,MMT/Hectospec,Cheng+2021
242.64467239,54.654747,0.236311,2.1e-05,,MMT/Hectospec,Cheng+2021
243.14658165,54.7555733,0.28988,2.1e-05,,MMT/Hectospec,Cheng+2021
242.82237053,54.7540016,0.063907,2.1e-05,,MMT/Hectospec,Cheng+2021
243.05262566,54.6550827,0.234677,2.1e-05,,MMT/Hectospec,Cheng+2021
243.24743271,54.4230194,0.266163,2.1e-05,,MMT/Hectospec,Cheng+2021
242.79353142,53.9785461,0.260462,2.1e-05,,MMT/Hectospec,Cheng+2021
242.31657028,54.2008858,0.266176,2.1e-05,,MMT/Hectospec,Cheng+2021
242.61846542,54.0046577,0.261799,2.1e-05,,MMT/Hectospec,Cheng+2021
243.08069229,54.5161438,0.12736,2.1e-05,,MMT/Hectospec,Cheng+2021
242.20999718,54.1853256,0.328137,2.1e-05,,MMT/Hectospec,Cheng+2021
243.31094742,54.2494087,0.151333,2.2e-05,,MMT/Hectospec,Cheng+2021
242.89873123,54.0446815,0.337933,2.2e-05,,MMT/Hectospec,Cheng+2021
241.90501213,54.2988052,0.269174,2.2e-05,,MMT/Hectospec,Cheng+2021
242.84308434,54.8918571,0.369698,2.2e-05,,MMT/Hectospec,Cheng+2021
243.06650162,54.503727,0.268531,2.2e-05,,MMT/Hectospec,Cheng+2021
242.79856682,54.2458,0.380772,2.2e-05,,MMT/Hectospec,Cheng+2021
241.86301231,54.2705307,0.260084,2.2e-05,,MMT/Hectospec,Cheng+2021
242.48577118,54.4444389,0.274161,2.2e-05,,MMT/Hectospec,Cheng+2021
243.05625916,54.3574066,0.350289,2.2e-05,,MMT/Hectospec,Cheng+2021
243.21364403,54.6355171,0.065339,2.2e-05,,MMT/Hectospec,Cheng+2021
242.94350624,54.2392197,0.334195,2.2e-05,,MMT/Hectospec,Cheng+2021
242.06877708,54.1777191,0.233809,2.2e-05,,MMT/Hectospec,Cheng+2021
242.0481205,54.1321106,0.232761,2.2e-05,,MMT/Hectospec,Cheng+2021
242.08803177,54.0557022,0.549266,2.2e-05,,MMT/Hectospec,Cheng+2021
241.99124336,54.2873917,0.189774,2.2e-05,,MMT/Hectospec,Cheng+2021
242.26169586,54.7220917,0.235675,2.2e-05,,MMT/Hectospec,Cheng+2021
242.26776123,54.4562988,0.445654,2.2e-05,,MMT/Hectospec,Cheng+2021
242.59222984,54.8154259,0.233656,2.2e-05,,MMT/Hectospec,Cheng+2021
242.86179543,54.4337006,0.152209,2.2e-05,,MMT/Hectospec,Cheng+2021
241.78261757,54.2630043,0.237834,2.2e-05,,MMT/Hectospec,Cheng+2021
242.2961998,54.0279083,0.316727,2.2e-05,,MMT/Hectospec,Cheng+2021
